a2,c4,c6,c7,c8,c9,c10,c11,c13,c152,c162,c172,c30a,d30a,d30b,d2
Mekong River Delta,,No,,,,No,,,No,,,1,0,0,14990000000
Red River Delta,1,Yes,2,150,,No,,1,No,,,0,0,0,349432565000
Southeast,,Yes,1,180,,No,,,No,,,0,0,0,9868912000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,13800000000
Southeast,,No,,,,No,,,No,,,0,0,0,10093929000
Red River Delta,,Yes,3,720,,Yes,100,,No,,,3,1,,13918000000
Mekong River Delta,,Yes,3,75,,No,,,No,,,0,0,0,101500000000
Southeast,,No,,,,No,,,No,,,0,0,0,109852667000
Southeast,,No,,,,No,,,No,,,0,0,0,4102765000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,Yes,1,,No,,,0,0,0,87831362000
Red River Delta,,Yes,1,120,,No,,,No,,,1,3,2,80000000000
Mekong River Delta,,Yes,1,481,,Yes,30,,No,,,0,0,0,48717000000
Southeast,,Yes,3,170,,No,,,No,,,0,0,0,104168235000
Southeast,,Yes,2,5,,Yes,2,,No,,,0,0,0,349204787000
Mekong River Delta,,Yes,1,300,,No,,,No,,,0,0,,2961390000
Mekong River Delta,,Yes,1,510,,Yes,100,,No,,,0,0,0,174639000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,49600000000
Mekong River Delta,,Yes,1,600,6,No,,,Yes,2,10,1,4,4,900000000
Southeast,,No,,,,No,,,No,,,3,1,1,113925714000
Southeast,,Yes,1,60,,No,,,No,,,0,0,0,68495358000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,1933000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,1,13145000000
Mekong River Delta,,No,,,,No,,,No,,,2,3,2,6752000000
Southeast,,Yes,1,6,,Yes,1,,No,,,0,0,0,25589428000
Red River Delta,,Yes,0,,,No,,,No,,,1,2,2,8000000000
Southeast,,No,,,,No,,,No,,,0,0,0,3452000000
Red River Delta,,No,,,,No,,,No,,,2,2,0,1500000000
Mekong River Delta,,Yes,3,90,,No,,,No,,,0,0,0,10950000000
Southeast,,Yes,2,150,,Yes,1,,No,,,0,0,0,234426357000
Southeast,,No,,,,No,,,No,,,0,0,0,7398376000
Southeast,,No,,,,No,,,No,,,0,0,1,107130926000
Southeast,,No,,,,No,,,No,,,3,1,1,5184128000
Southeast,,No,,,,No,,,No,,,2,1,2,75041308000
Southeast,,No,,,,No,,,No,,,0,0,0,12526813000
Southeast,,No,,,,No,,,No,,,2,2,,74307555000
Southeast,,No,,,,No,,,No,,,0,0,0,90408451000
Red River Delta,,Yes,1,720,0,No,,,No,,,4,2,0,12000000000
Mekong River Delta,,Yes,2,120,,No,,,No,,,0,0,0,47880000000
Southeast,,No,,,,No,,,No,,,0,2,2,12830262000
Mekong River Delta,,Yes,0,,,No,,,No,,,3,0,0,29245348000
Southeast,,No,,,,No,,,No,,,0,0,0,1927775000
Southeast,,No,,,,No,,,No,,,0,1,1,161000000000
Red River Delta,,Yes,1,30,,No,,,No,,,0,0,0,2000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,0,,,Yes,1,,No,,,2,0,0,380000000000
Mekong River Delta,,No,,,,Yes,70,4,No,,,3,3,1,1946945000000
Mekong River Delta,,No,,,,No,,,No,,,1,1,3,390139000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,76395000000
Mekong River Delta,,No,,,,No,,,No,,,1,0,0,37061000000
Mekong River Delta,,Yes,2,480,,Yes,80,,No,,,3,1,1,24681000000
Southeast,,No,,,,No,,,No,,,0,0,0,24260476000
Red River Delta,,No,,,,No,,,No,,,0,0,0,87865000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,57219940000
Southeast,,No,,,,Yes,1,,No,,,0,2,0,997359153000
Southeast,1,Yes,1,60,,Yes,100,,No,,,3,3,3,69529000000
Southeast,,No,,,,No,,,No,,,0,0,0,2815080000
Southeast,,No,,,,No,,,No,,,0,0,0,43010416000
Southeast,,No,,,,No,,,No,,,0,0,0,42351866000
Mekong River Delta,,Yes,2,120,,Yes,1,,No,,,0,1,0,129739000000
Southeast,,No,,,,No,,,No,,,0,0,0,11507040000
Southeast,,Yes,2,105,,No,,,No,,,1,0,0,1123149744000
Red River Delta,,Yes,3,690,,No,,,No,,,3,3,2,877591000000
Red River Delta,,No,,,,No,,,No,,,3,0,0,4801556000
Red River Delta,,No,,,,No,,,No,,,0,0,0,1893357000
Red River Delta,,No,,,,No,,,No,,,3,0,1,153275212000
